episode ,mean     ,max
 392000 ,92674.7  ,175376
 393000 ,89235.7  ,177640
 394000 ,92156.6  ,175440
 395000 ,95592.2  ,173440
 396000 ,90674    ,174800
 397000 ,91405.5  ,173256
 398000 ,91024.2  ,173388
 399000 ,92705    ,175548
 400000 ,92133.5  ,177228
 401000 ,90374.3  ,177284
 402000 ,90760.9  ,175200
 403000 ,92630.7  ,176504
 404000 ,93661.3  ,176664
 405000 ,88075.8  ,173092
 406000 ,90765.9  ,168704
 407000 ,90028.7  ,174400
 408000 ,90560.9  ,173196
 409000 ,92574.9  ,176580
 410000 ,90980.4  ,176164
 411000 ,92168.7  ,176416
 412000 ,89767.4  ,173548
 413000 ,94077.4  ,172724
 414000 ,90359.1  ,173076
 415000 ,91952    ,176540
 416000 ,90888    ,175608
 417000 ,92356.5  ,171844
 418000 ,91003.9  ,172788
 419000 ,91503.1  ,173132
 420000 ,91120.6  ,174044
 421000 ,92508    ,174272
 422000 ,94403.5  ,175292
 423000 ,92997.4  ,177676
 424000 ,88972    ,172740
 425000 ,91208.3  ,176504
 426000 ,91558.9  ,172288
 427000 ,94106.8  ,169068
 428000 ,91769.4  ,174948
 429000 ,92168.4  ,171100
 430000 ,91156.2  ,173912
 431000 ,91937.3  ,174540
 432000 ,91866.9  ,168460
 433000 ,94131.7  ,174612
 434000 ,92544.9  ,173988
 435000 ,93499.8  ,172644
 436000 ,89560.6  ,175060
 437000 ,94368.8  ,175788
 438000 ,91782.8  ,173716
 439000 ,90665.1  ,173608
 440000 ,91954.7  ,176452
 441000 ,88233.4  ,176920
 442000 ,93295.6  ,171136
 443000 ,92302.5  ,174852
 444000 ,91415    ,174028
 445000 ,91706    ,177500
 446000 ,93629.2  ,177144
 447000 ,93074.7  ,174588
 448000 ,94430.2  ,173660
 449000 ,94466.5  ,174024
 450000 ,92424.8  ,175536
 451000 ,92399.7  ,176976
 452000 ,89693.2  ,175520
 453000 ,92438.3  ,173916
 454000 ,88451.9  ,172196
 455000 ,94958.2  ,176904
 456000 ,93091.1  ,175892
 457000 ,95400.8  ,173360
 458000 ,93299.7  ,172968
 459000 ,93519.2  ,175180
 460000 ,90978.9  ,176640
 461000 ,92324.4  ,175400
 462000 ,93155.9  ,173372
 463000 ,93778.2  ,175020
 464000 ,94798.3  ,175156
 465000 ,91469.5  ,174304
 466000 ,93313.7  ,177404
 467000 ,91969.5  ,175424
 468000 ,92283.2  ,173332
 469000 ,92301.8  ,175140
 470000 ,90118.5  ,175408
 471000 ,92043.1  ,174588
 472000 ,94918    ,172656
 473000 ,90107.5  ,171520
 474000 ,93724.9  ,175668
 475000 ,95567.1  ,170912
 476000 ,92083.8  ,181692
 477000 ,90822.4  ,177248
 478000 ,91796.4  ,172572
 479000 ,91783.2  ,244340
 480000 ,92536.3  ,173104
 481000 ,92182    ,172772
 482000 ,91851    ,175228
 483000 ,91571.8  ,172268
 484000 ,92837.7  ,177804
 485000 ,93326.7  ,176576
 486000 ,95022.7  ,177048
 487000 ,91070.2  ,177316
 488000 ,93221.5  ,168792
 489000 ,94458.7  ,172128
 490000 ,91475.4  ,173368
 491000 ,91296.1  ,175020
 492000 ,92950    ,174800
 493000 ,95335.9  ,173268
 494000 ,91631.4  ,172428
 495000 ,92107.1  ,175528
 496000 ,92342.2  ,176820
 497000 ,89679.1  ,176960
 498000 ,93065.3  ,168440
 499000 ,92778.7  ,171752
 500000 ,94559.9  ,175240
 501000 ,94697.6  ,173632
 502000 ,94406    ,173648
 503000 ,92406    ,172272
 504000 ,91960.6  ,176276
 505000 ,91554.4  ,174604
 506000 ,92429.1  ,175364
 507000 ,92120.5  ,169832
 508000 ,90635    ,173428
 509000 ,93242.5  ,176328
 510000 ,95316.5  ,223932
 511000 ,95777.5  ,175772
 512000 ,89067.4  ,171932
 513000 ,90157.2  ,174752
 514000 ,91592    ,176948
 515000 ,91261.3  ,175496
 516000 ,91089.7  ,174564
 517000 ,93480.3  ,176368
 518000 ,91594    ,177284
 519000 ,93201.8  ,168404
 520000 ,93734.2  ,175528
 521000 ,92306.6  ,171676
 522000 ,89737.8  ,172972
 523000 ,92639.3  ,173284
 524000 ,91803    ,176292
 525000 ,91806.1  ,171140
 526000 ,91389.3  ,175552
 527000 ,92034.2  ,238532
 528000 ,88997.5  ,175424
 529000 ,94928.7  ,176128
 530000 ,93319.3  ,176856
 531000 ,91670.4  ,175240
 532000 ,92642.4  ,177228
 533000 ,90143.1  ,171212
 534000 ,95228.5  ,174240
 535000 ,95871.3  ,175424
 536000 ,93700.9  ,175608
 537000 ,89682    ,174812
 538000 ,93011.3  ,174800
 539000 ,90746.9  ,246124
 540000 ,90741.8  ,177324
 541000 ,93737.4  ,176252
 542000 ,94478    ,175376
 543000 ,91047.9  ,238120
 544000 ,90803.8  ,176540
 545000 ,95253.8  ,173588
 546000 ,91385    ,175652
 547000 ,92519.6  ,175048
 548000 ,92532.7  ,173108
 549000 ,95777.7  ,227648
 550000 ,90485.9  ,175176
 551000 ,90545.9  ,174792
 552000 ,93972.3  ,173336
 553000 ,91135.5  ,175548
 554000 ,91192.7  ,177156
 555000 ,92323.6  ,175436
 556000 ,91209.8  ,169728
 557000 ,93201.4  ,172468
 558000 ,91947.2  ,173520
 559000 ,94108.8  ,175412
 560000 ,91965    ,171532
 561000 ,90712.8  ,175628
 562000 ,93632.9  ,173380
 563000 ,92117.3  ,171940
 564000 ,92018    ,174704
 565000 ,95157.2  ,174716
 566000 ,91265.9  ,176188
 567000 ,90652.2  ,173272
 568000 ,92125.4  ,177560
 569000 ,95035.4  ,175536
 570000 ,94047    ,173860
 571000 ,94195.5  ,176512
 572000 ,90137.8  ,173068
 573000 ,94398.8  ,175788
 574000 ,95519.9  ,177372
 575000 ,91945.1  ,173112
 576000 ,97023    ,176564
 577000 ,94224.9  ,175928
 578000 ,92482.2  ,168220
 579000 ,93234.7  ,173236
 580000 ,91526.8  ,169428
 581000 ,95195.9  ,174192
 582000 ,89673.6  ,175564
 583000 ,93033.1  ,171788
 584000 ,91566.4  ,174872
 585000 ,93618.2  ,175140
 586000 ,94067    ,172212
 587000 ,93691.5  ,173728
 588000 ,91686.6  ,175536
 589000 ,92033.4  ,177208
 590000 ,92257.8  ,175448
 591000 ,88969.3  ,173304
 592000 ,93010.9  ,175368
 593000 ,91112.4  ,173080
 594000 ,92908.2  ,177216
 595000 ,92969.4  ,174932
 596000 ,93503.7  ,177060
 597000 ,90663.3  ,176556
 598000 ,90876.1  ,173188
 599000 ,91190.7  ,175064
 600000 ,94527.9  ,175320
 601000 ,95257.8  ,176848
 602000 ,94944.6  ,176428
 603000 ,92997.5  ,173516
 604000 ,96279.8  ,174668
 605000 ,93782.2  ,173228
 606000 ,94232.1  ,174028
 607000 ,92683.7  ,174856
 608000 ,92138    ,174624
 609000 ,93119.5  ,174728
 610000 ,92999.8  ,172964
 611000 ,91262.1  ,173260
 612000 ,95293    ,175436
 613000 ,91789.5  ,175620
 614000 ,95662.6  ,173304
 615000 ,96125.7  ,176280
 616000 ,91547.9  ,173848
 617000 ,93985.1  ,176120
 618000 ,91370.8  ,176156
 619000 ,92430.4  ,176536
 620000 ,92990.1  ,173964
 621000 ,93677.7  ,173072
 622000 ,91972.8  ,176420
 623000 ,92864.2  ,174836
 624000 ,95648.9  ,231636
